file,components
f:\study\wx-mall-components/dist/pages/cardSwiperPage/cardSwiperPage.js,"[{""name"":""card-swiper"",""path"":""/components/card-swiper/card-swiper""},{""name"":""wxParse"",""path"":""/miniprogram_npm/wx-minicomponent/wxParse""}]"
f:\study\wx-mall-components/dist/pages/datePickerPage/datePickerPage.js,"[{""name"":""date-picker"",""path"":""/components/date-picker/date-picker""}]"
f:\study\wx-mall-components/dist/pages/directoryPage/directoryPage.js,"[{""name"":""side-directory"",""path"":""/components/side-directory/side-directory""},{""name"":""piclist-directory"",""path"":""/components/piclist-directory/piclist-directory""}]"
f:\study\wx-mall-components/dist/pages/dropdownSelectPage/dropdownSelectPage.js,"[{""name"":""dropdown-select"",""path"":""/components/dropdown-select/dropdown-select""},{""name"":""wxParse"",""path"":""/miniprogram_npm/wx-minicomponent/wxParse""}]"
f:\study\wx-mall-components/dist/pages/gridPage/gridPage.js,"[{""name"":""grid"",""path"":""/components/grid/grid""},{""name"":""wxParse"",""path"":""/miniprogram_npm/wx-minicomponent/wxParse""}]"
f:\study\wx-mall-components/dist/pages/index/index.js,"[{""name"":""skin"",""path"":""/components/skin/skin""}]"
f:\study\wx-mall-components/dist/pages/inputPage/inputPage.js,"[{""name"":""form-input"",""path"":""/components/form-input/form-input""},{""name"":""wxParse"",""path"":""/miniprogram_npm/wx-minicomponent/wxParse""}]"
f:\study\wx-mall-components/dist/pages/lzButtonPage/lzButtonPage.js,"[{""name"":""wxParse"",""path"":""/miniprogram_npm/wx-minicomponent/wxParse""},{""name"":""lz-button"",""path"":""/components/lz-button/lz-button""}]"
f:\study\wx-mall-components/dist/pages/orderPicinfoviewPage/orderPicinfoviewPage.js,"[{""name"":""order-picinfoview"",""path"":""/components/order-picinfoview/order-picinfoview""},{""name"":""order-picinfocard"",""path"":""/components/order-picinfocard/order-picinfocard""},{""name"":""wxParse"",""path"":""/miniprogram_npm/wx-minicomponent/wxParse""}]"
f:\study\wx-mall-components/dist/pages/productPicinfoviewPage/productPicinfoviewPage.js,"[{""name"":""wxParse"",""path"":""/miniprogram_npm/wx-minicomponent/wxParse""},{""name"":""product-picinfoview"",""path"":""/components/product-picinfoview/product-picinfoview""},{""name"":""product-picinfocard"",""path"":""/components/product-picinfocard/product-picinfocard""}]"
f:\study\wx-mall-components/dist/pages/richEditorPage/richEditorPage.js,"[{""name"":""wxParse"",""path"":""/miniprogram_npm/wx-minicomponent/wxParse""},{""name"":""rich-editor"",""path"":""/components/rich-editor/rich-editor""}]"
f:\study\wx-mall-components/dist/pages/richTextPage/richTextPage.js,"[{""name"":""wxParse"",""path"":""/miniprogram_npm/wx-minicomponent/wxParse""}]"
f:\study\wx-mall-components/dist/pages/searchPage/searchPage.js,"[{""name"":""search"",""path"":""/components/search/search""},{""name"":""wxParse"",""path"":""/miniprogram_npm/wx-minicomponent/wxParse""}]"
f:\study\wx-mall-components/dist/pages/selectTabPage/selectTabPage.js,"[{""name"":""wxParse"",""path"":""/miniprogram_npm/wx-minicomponent/wxParse""},{""name"":""select-tab"",""path"":""/components/select-tab/select-tab""}]"
f:\study\wx-mall-components/dist/pages/toastPage/toastPage.js,"[{""name"":""toast"",""path"":""/components/toast/toast""},{""name"":""wxParse"",""path"":""/miniprogram_npm/wx-minicomponent/wxParse""}]"
f:\study\wx-mall-components/dist/pages/toptipsPage/toptipsPage.js,"[{""name"":""wxParse"",""path"":""/miniprogram_npm/wx-minicomponent/wxParse""},{""name"":""toptips"",""path"":""/components/toptips/toptips""}]"
